"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&base_name=Trilobita&interval=Devonian&show=coords,timecompare"
"Access Time","Sat 2024-12-07 13:57:49 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Trilobita"
"","interval","Devonian"
"","timerule","major"
"","taxon_status","all"
"","show","coords,timecompare"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat","time_contain","time_major","time_buffer","time_overlap"
"10205","occ","","","592","Warburgella sp.","genus","21405","","Warburgella","genus","21405","Lochkovian","Pragian","419.2","407.6","60988","-124.966667","62.641666","-","Lochkovian","Lochkovian, Pragian","Lochkovian, Pragian"
"10206","occ","","","592","Proetida indet.","order","21062","","Proetida","order","21062","Lochkovian","Pragian","419.2","407.6","60988","-124.966667","62.641666","-","Lochkovian","Lochkovian, Pragian","Lochkovian, Pragian"
"10207","occ","","","592","Phacopida ? indet.","order","21421","","Phacopida","order","21421","Lochkovian","Pragian","419.2","407.6","60988","-124.966667","62.641666","-","Lochkovian","Lochkovian, Pragian","Lochkovian, Pragian"
"10212","occ","","","593","Phacops sp.","genus","21701","","Phacops","genus","21701","Lochkovian","","419.2","410.8","15806","-66.366669","48.066666","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"10213","occ","","","593","Dalmanites sp.","genus","21523","","Dalmanites","genus","21523","Lochkovian","","419.2","410.8","15806","-66.366669","48.066666","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"10214","occ","","","593","Bronteus sp.","genus","20372","subjective synonym of","Scutellum","genus","19684","Lochkovian","","419.2","410.8","15806","-66.366669","48.066666","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"10291","occ","","","595","Calymene sp.","genus","21478","","Calymene","genus","21478","Pragian","","410.8","407.6","27289","-117.921112","38.868889","Pragian","Pragian","Pragian","Pragian"
"10325","occ","","","596","Phacops sp.","genus","21701","","Phacops","genus","21701","Helderbergian","","419.2","393.3","60990","-116.847504","39.092220","-","Emsian","Emsian","Lochkovian, Pragian, Emsian"
"10326","occ","","","596","Proetus sp.","genus","21327","","Proetus","genus","21327","Helderbergian","","419.2","393.3","60990","-116.847504","39.092220","-","Emsian","Emsian","Lochkovian, Pragian, Emsian"
"10328","occ","","","597","Phacops sp.","genus","21701","","Phacops","genus","21701","Pragian","","410.8","407.6","15806","-64.483330","48.833332","Pragian","Pragian","Pragian","Pragian"
"10329","occ","","","597","Dalmanites sp.","genus","21523","","Dalmanites","genus","21523","Pragian","","410.8","407.6","15806","-64.483330","48.833332","Pragian","Pragian","Pragian","Pragian"
"10346","occ","","","598","Synphoria sopita","species","21791","species not entered","Synphoria","genus","21791","Pragian","","410.8","407.6","36816","-64.330002","48.880001","Pragian","Pragian","Pragian","Pragian"
"10357","occ","","","598","Anchiopsis anchiops","species","426095","","Anchiopsis anchiops","species","426091","Pragian","","410.8","407.6","36816","-64.330002","48.880001","Pragian","Pragian","Pragian","Pragian"
"10365","occ","","","598","Synphoroides sp.","genus","21792","","Synphoroides","genus","21792","Pragian","","410.8","407.6","36816","-64.330002","48.880001","Pragian","Pragian","Pragian","Pragian"
"10422","occ","","","601","Phacops sp.","genus","21701","","Phacops","genus","21701","Pragian","","410.8","407.6","60918","-75.662781","41.408890","Pragian","Pragian","Pragian","Pragian"
"10438","occ","","","602","Proetida indet.","order","21062","","Proetida","order","21062","Pragian","","410.8","407.6","27289","-117.921112","38.868889","Pragian","Pragian","Pragian","Pragian"
"10439","occ","","","602","Phacops sp.","genus","21701","","Phacops","genus","21701","Pragian","","410.8","407.6","27289","-117.921112","38.868889","Pragian","Pragian","Pragian","Pragian"
"10440","occ","","","602","Leonaspis sp.","genus","19814","","Leonaspis","genus","19814","Pragian","","410.8","407.6","27289","-117.921112","38.868889","Pragian","Pragian","Pragian","Pragian"
"10558","occ","","","605","Dalmanites sp.","genus","21523","","Dalmanites","genus","21523","Emsian","","407.6","393.3","60970","-117.921112","38.868889","Emsian","Emsian","Emsian","Emsian"
"10559","occ","","","605","Phacops sp.","genus","21701","","Phacops","genus","21701","Emsian","","407.6","393.3","60970","-117.921112","38.868889","Emsian","Emsian","Emsian","Emsian"
"10567","occ","","","606","Leonaspis sp.","genus","19814","","Leonaspis","genus","19814","Emsian","","407.6","393.3","60984","-136.583328","62.833332","Emsian","Emsian","Emsian","Emsian"
"10568","occ","","","606","Phacopida indet.","order","21421","","Phacopida","order","21421","Emsian","","407.6","393.3","60984","-136.583328","62.833332","Emsian","Emsian","Emsian","Emsian"
"10569","occ","","","606","Dechenella sp.","genus","21144","","Dechenella","genus","21144","Emsian","","407.6","393.3","60984","-136.583328","62.833332","Emsian","Emsian","Emsian","Emsian"
"10573","occ","","","607","Basidechenella ? sp.","genus","21087","","Basidechenella","genus","21087","Emsian","","407.6","393.3","60984","-134.866669","67.433334","Emsian","Emsian","Emsian","Emsian"
"10574","occ","","","607","Otarion sp.","genus","21275","","Otarion","genus","21275","Emsian","","407.6","393.3","60984","-134.866669","67.433334","Emsian","Emsian","Emsian","Emsian"
"10575","occ","","","607","Proetida indet.","order","21062","","Proetida","order","21062","Emsian","","407.6","393.3","60984","-134.866669","67.433334","Emsian","Emsian","Emsian","Emsian"
"10576","occ","","","607","Terataspis sp.","genus","19765","","Terataspis","genus","19765","Emsian","","407.6","393.3","60984","-134.866669","67.433334","Emsian","Emsian","Emsian","Emsian"
"10577","occ","","","607","Leonaspis sp.","genus","19814","","Leonaspis","genus","19814","Emsian","","407.6","393.3","60984","-134.866669","67.433334","Emsian","Emsian","Emsian","Emsian"
"10631","occ","","","608","Phacops sp.","genus","21701","","Phacops","genus","21701","Emsian","","407.6","393.3","13441","-64.483330","48.833332","Emsian","Emsian","Emsian","Emsian"
"10683","occ","","","612","Phacopida ? indet.","order","21421","","Phacopida","order","21421","Eifelian","","393.3","387.7","17056","-117.921112","38.868889","Eifelian","Eifelian","Eifelian","Eifelian"
"10704","occ","","","613","Phacopida ? indet.","order","21421","","Phacopida","order","21421","Eifelian","","393.3","387.7","61511","-78.000000","39.666668","Eifelian","Eifelian","Eifelian","Eifelian"
"10745","occ","","","616","Leonaspis sp.","genus","19814","","Leonaspis","genus","19814","Eifelian","","393.3","387.7","61110","7.833333","51.000000","Eifelian","Eifelian","Eifelian","Eifelian"
"10746","occ","","","616","Proetus sp.","genus","21327","","Proetus","genus","21327","Eifelian","","393.3","387.7","61110","7.833333","51.000000","Eifelian","Eifelian","Eifelian","Eifelian"
